_id,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg,dataset
5fdc7bd9782aee73d65a8dea,"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,WO/SALT",25,1,0,0,5,1,2,20,0,27,41,253,6,0,0,0,0,6,0,0,0,0,13,0,10,0,0,usda
5fdc7bd9782aee73d65a8dec,"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,WO/SALT",16,1,0,0,3,1,1,15,0,19,28,140,1,0,0,0,0,10,0,0,0,0,21,0,4,0,0,usda
5fdc7bd9782aee73d65a8df3,"SQUASH,WNTR,ACORN,CKD,BKD,WO/SALT",56,1,0,0,14,4,0,44,0,43,45,437,4,0,0,0,0,10,0,0,0,0,19,0,21,0,0,usda
5fdc7bd9782aee73d65a8df4,"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,WO/SALT",34,0,0,0,8,2,0,26,0,26,27,263,3,0,0,0,0,6,0,0,0,0,11,0,41,0,0,usda
5fdc7bd9782aee73d65a8df6,"SQUASH,WNTR,BUTTERNUT,CKD,BKD,WO/SALT",40,0,0,0,10,3,1,41,0,29,27,284,4,0,0,0,0,15,0,0,0,0,19,0,558,1,0,usda
5fdc7bd9782aee73d65a8df8,"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,WO/SALT",39,1,0,0,10,0,0,19,0,9,14,133,2,0,0,0,0,3,0,0,0,0,16,0,167,0,0,usda
5fdc7bd9782aee73d65a8dfa,"SQUASH,WNTR,HUBBARD,BKD,WO/ SALT",50,2,0,0,10,4,4,17,0,22,23,358,8,0,0,0,0,9,0,0,0,0,16,0,335,0,0,usda
5fdc7bd9782aee73d65a8dfb,"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,WO/SALT",30,1,0,0,6,2,2,10,0,13,14,214,5,0,0,0,0,6,0,0,0,0,10,0,200,0,0,usda
5fdc7bd9782aee73d65a8dfd,"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,WO/SALT",27,0,0,0,6,1,2,21,0,11,14,117,18,0,0,0,0,3,0,0,0,0,8,0,6,0,0,usda
5fdc7bd9782aee73d65a8e0b,"SWEETPOTATO,CND,VACUUM PK",91,1,0,0,21,1,5,22,0,22,49,312,53,0,0,0,0,26,0,0,0,0,17,0,399,1,0,usda
5fdc7bd9782aee73d65a8e0f,"TARO,RAW",112,1,0,0,26,4,0,43,0,33,84,591,11,0,0,0,0,4,0,0,0,0,22,0,4,2,0,usda
5fdc7bd9782aee73d65a8e10,"TARO,COOKED,WITHOUT SALT",142,0,0,0,34,5,0,18,0,30,76,484,15,0,0,0,0,5,0,0,0,0,19,0,4,2,0,usda
5fdc7bd9782aee73d65a8e12,"TARO LEAVES,CKD,STMD,WO/SALT",24,2,0,0,4,2,0,86,1,20,27,460,2,0,0,0,0,35,0,0,1,0,48,0,212,0,0,usda
5fdc7bd9782aee73d65a8e13,"TARO SHOOTS,RAW",11,0,0,0,2,0,0,12,0,8,28,332,1,0,0,0,0,21,0,0,0,0,3,0,3,0,0,usda
5fdc7bd9782aee73d65a8e14,"TARO SHOOTS,CKD,WO/SALT",14,0,0,0,3,0,0,14,0,8,26,344,2,0,0,0,1,18,0,0,0,0,3,0,3,0,0,usda
5fdc7bd9782aee73d65a8e15,"TARO,TAHITIAN,RAW",44,2,0,0,6,0,0,129,1,47,45,606,50,0,0,0,0,96,0,0,0,0,9,0,102,0,0,usda
5fdc7bd9782aee73d65a8e16,"TARO,TAHITIAN,CKD,WO/SALT",44,4,0,0,6,0,0,149,1,51,67,623,54,0,0,0,0,38,0,0,0,0,7,0,88,0,0,usda
5fdc7bd9782aee73d65a8e27,"TREE FERN,CKD,WO/SALT",40,0,0,0,10,3,0,8,0,5,4,5,5,0,0,0,0,30,0,0,3,0,15,0,10,0,0,usda
5fdc7bd9782aee73d65a8e34,"VEGETABLES,MXD,CND,SOL&LIQUIDS",36,1,0,0,7,3,0,21,0,15,37,138,224,0,0,0,0,3,0,0,0,0,18,0,0,0,0,usda
5fdc7bd9782aee73d65a8e35,"VEGETABLES,MXD,CND,DRND SOL",49,2,0,0,9,3,2,27,1,16,42,291,214,0,0,0,0,5,0,0,0,0,24,0,583,0,0,usda
5fdc7bd9782aee73d65a8e3a,"WATERCHESTNUTS,CHINESE,(MATAI),RAW",97,1,0,0,23,3,4,11,0,22,63,584,14,0,0,0,0,4,0,0,1,0,16,0,0,1,0,usda
5fdc7bd9782aee73d65a8e3b,"WATERCHESTNUTS,CHINESE,CND,SOL&LIQUIDS",50,0,0,0,12,2,2,4,0,5,19,118,8,0,0,0,0,1,0,0,0,0,6,0,0,0,0,usda
5fdc7bd9782aee73d65a8e3c,"WATERCRESS,RAW",11,2,0,0,1,0,0,120,0,21,60,330,41,0,0,0,0,43,0,0,0,0,9,0,160,1,0,usda
5fdc7bd9782aee73d65a8e40,"WINGED BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",38,5,0,0,3,0,0,61,1,30,25,274,4,0,0,0,1,9,0,0,0,0,35,0,4,0,0,usda
5fdc7bd9782aee73d65a8e42,"WINGED BEAN TUBER,RAW",148,11,0,0,28,0,0,30,2,24,45,586,35,1,1,0,0,0,0,0,1,0,19,0,0,0,0,usda
5fdc7bd9782aee73d65a8e45,"YAMBEAN (JICAMA),RAW",38,0,0,0,8,4,1,12,0,12,18,150,4,0,0,0,0,20,0,0,0,0,12,0,1,0,0,usda
5fdc7bd9782aee73d65a8e46,"YAMBEAN (JICAMA),CKD,BLD,DRND,WO/SALT",38,0,0,0,8,0,0,11,0,11,16,135,4,0,0,0,0,14,0,0,0,0,8,0,1,0,0,usda
5fdc7bd9782aee73d65a8e49,"BORAGE,RAW",21,1,0,0,3,0,0,93,3,52,53,470,80,0,0,0,0,35,0,0,0,0,13,0,210,0,0,usda
5fdc7bd9782aee73d65a8e4a,"BORAGE,CKD,BLD,DRND,WO/SALT",25,2,0,0,3,0,0,102,3,57,55,491,88,0,0,0,0,32,0,0,0,0,10,0,219,0,0,usda
5fdc7bd9782aee73d65a8e4c,"DOCK,RAW",22,2,0,0,3,2,0,44,2,103,63,390,4,0,0,0,0,48,0,0,0,0,13,0,200,0,0,usda
5fdc7bd9782aee73d65a8e4d,"DOCK,CKD,BLD,DRND,WO/SALT",20,1,0,0,2,2,0,38,2,89,52,321,3,0,0,0,0,26,0,0,0,0,8,0,174,0,0,usda
5fdc7bd9782aee73d65a8e4e,"EPPAW,RAW",150,4,0,1,31,0,0,110,1,32,165,340,12,1,0,1,0,13,0,0,0,0,24,0,0,0,0,usda
5fdc7bd9782aee73d65a8e51,"KALE,SCOTCH,RAW",42,2,0,0,8,1,0,205,3,88,62,450,70,0,0,0,0,130,0,0,1,0,28,0,155,0,0,usda
5fdc7bd9782aee73d65a8e52,"KALE,SCOTCH,CKD,BLD,DRND,WO/SALT",28,1,0,0,5,1,0,132,1,57,38,274,45,0,0,0,0,52,0,0,0,0,13,0,100,0,0,usda
5fdc7bd9782aee73d65a8e53,"LEEKS,(BULB&LOWER-LEAF PORTION),FREEZE-DRIED",321,15,0,2,74,10,0,360,7,161,346,2400,35,0,0,2,5,118,0,0,3,1,366,0,14,0,0,usda
5fdc7bd9782aee73d65a8e59,"SHALLOTS,FREEZE-DRIED",348,12,0,0,80,15,38,183,6,104,296,1650,59,1,0,1,5,39,0,0,1,1,116,0,1,0,0,usda
5fdc7bd9782aee73d65a8e5b,"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,WO/SALT",20,0,0,0,4,1,2,27,0,24,39,192,1,0,0,0,0,5,0,0,0,0,20,0,11,0,0,usda
5fdc7bd9782aee73d65a8e5d,"SQUASH,WNTR,ALL VAR,CKD,BKD,WO/SALT",37,0,0,0,8,2,3,22,0,13,19,241,1,0,0,0,0,9,0,0,0,0,20,0,261,0,0,usda
5fdc7bd9782aee73d65a8e7b,"ARROWHEAD,CKD,BLD,DRND,W/SALT",78,4,0,0,16,0,0,7,1,49,197,881,254,0,0,0,0,0,0,0,1,0,9,0,0,0,0,usda
5fdc7bd9782aee73d65a8e7c,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,W/SALT",51,2,0,0,11,5,0,21,0,42,73,286,296,0,0,0,0,7,0,0,1,0,89,0,1,0,0,usda
5fdc7bd9782aee73d65a8e7d,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,W/SALT",45,3,0,0,9,4,0,21,0,31,61,264,289,0,0,0,0,5,0,0,0,0,119,0,1,0,0,usda
5fdc7bd9782aee73d65a8e8e,"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",35,1,0,0,7,3,3,44,0,18,29,146,239,0,0,0,0,9,0,0,0,0,33,0,35,0,0,usda
5fdc7bd9782aee73d65a8e8f,"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",35,1,0,0,7,3,3,46,1,25,39,299,3,0,0,0,0,9,0,0,0,0,33,0,4,0,0,usda
5fdc7bd9782aee73d65a8e90,"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",35,1,0,0,7,3,3,46,1,25,39,299,239,0,0,0,0,9,0,0,0,0,33,0,4,0,0,usda
5fdc7bd9782aee73d65a8e91,"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",15,0,0,0,3,1,0,24,0,13,19,92,14,0,0,0,0,3,0,0,0,0,18,0,16,0,0,usda
5fdc7bd9782aee73d65a8e93,"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",15,0,0,0,3,1,0,24,0,13,19,98,14,0,0,0,0,4,0,0,0,0,18,0,4,0,0,usda
5fdc7bd9782aee73d65a8e94,"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",22,1,0,0,4,1,0,38,1,13,20,96,2,0,0,0,0,2,0,0,0,0,28,0,18,0,0,usda
5fdc7bd9782aee73d65a8e96,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",28,1,0,0,6,3,1,42,0,19,29,159,245,0,0,0,0,4,0,0,0,0,23,0,23,0,0,usda
5fdc7bd9782aee73d65a8e9c,"BORAGE,CKD,BLD,DRND,W/SALT",25,2,0,0,3,0,0,102,3,57,55,491,324,0,0,0,0,32,0,0,0,0,10,0,219,0,0,usda
5fdc7bd9782aee73d65a8e9d,"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",62,4,0,0,10,0,0,18,1,31,73,193,277,0,0,0,1,19,0,0,1,0,58,0,14,0,0,usda
5fdc7bd9782aee73d65a8e9f,"BROCCOLI,FLOWER CLUSTERS,RAW",28,2,0,0,5,2,1,48,0,25,66,325,27,0,0,0,3,93,0,0,0,0,71,0,0,0,0,usda
5fdc7bd9782aee73d65a8ea0,"BROCCOLI,STALKS,RAW",28,2,0,0,5,0,0,48,0,25,66,325,27,0,0,0,3,93,0,0,0,0,71,0,20,0,0,usda
5fdc7bd9782aee73d65a8ea1,"BROCCOLI,CKD,BLD,DRND,W/SALT",35,2,0,0,7,3,1,40,0,21,67,293,262,0,0,0,1,64,0,0,0,0,108,0,77,1,0,usda
5fdc7bd9782aee73d65a8ea2,"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",28,3,0,0,5,3,1,33,0,13,49,142,260,0,0,0,0,40,0,0,0,0,56,0,51,1,0,usda
